Number of animals, Number of plants, Number of empty cells, Most popular genome, Average energy, Average number of children, Average lifespan of dead animals
50,40,317,[3, 7, 5, 0, 0, 2, 0, 4, 1, 6, 3, 0],10.0,0.0,0.0,
53,46,307,[3, 7, 5, 0, 0, 2, 0, 4, 1, 6, 3, 0],9.25,0.11,0.0,
55,48,305,[3, 7, 5, 0, 0, 2, 0, 4, 1, 6, 3, 0],9.47,0.18,0.0,
57,54,300,[3, 7, 5, 0, 0, 2, 0, 4, 1, 6, 3, 0],8.95,0.25,2.0,
59,56,295,[3, 7, 5, 0, 0, 2, 0, 4, 1, 6, 3, 0],9.08,0.31,2.0,
62,60,289,[3, 7, 5, 0, 0, 2, 0, 4, 1, 6, 3, 0],8.71,0.39,2.0,
56,64,287,[2, 7, 3, 2, 6, 3, 0, 0, 2, 4, 3, 1],9.8,0.36,3.85,
61,66,286,[3, 7, 5, 0, 0, 2, 0, 4, 1, 6, 3, 0],9.48,0.49,3.71,
66,72,283,[2, 7, 3, 2, 6, 3, 0, 0, 2, 4, 3, 1],8.68,0.64,3.88,
65,76,277,[2, 7, 3, 2, 6, 3, 0, 0, 2, 4, 3, 1],8.83,0.63,4.27,
68,77,276,[2, 7, 3, 2, 6, 3, 0, 0, 2, 4, 3, 1],8.88,0.72,4.24,
54,80,287,[2, 7, 3, 2, 6, 3, 0, 0, 2, 4, 3, 1],11.74,1.02,6.62,
55,79,281,[2, 4, 1, 6, 1, 6, 5, 4, 7, 4, 3, 1],12.82,1.04,6.52,
56,83,280,[0, 1, 4, 7, 2, 7, 1, 7, 1, 5, 4, 2],12.86,0.95,6.84,
59,84,282,[0, 1, 4, 7, 2, 7, 1, 7, 1, 5, 4, 2],12.95,1.05,6.6,
61,86,277,[0, 1, 4, 7, 2, 7, 1, 7, 1, 5, 4, 2],13.05,1.08,6.42,
61,89,275,[2, 4, 1, 6, 1, 6, 5, 4, 7, 4, 3, 1],13.44,1.16,6.52,
63,89,280,[2, 4, 1, 6, 1, 6, 5, 4, 7, 4, 3, 1],13.9,1.24,6.23,
61,88,275,[4, 6, 3, 6, 5, 3, 1, 2, 2, 3, 7, 4],15.38,1.28,6.16,
65,90,275,[7, 4, 2, 3, 5, 6, 1, 6, 1, 0, 7, 7],14.91,1.35,6.0,
67,87,275,[7, 4, 2, 3, 5, 6, 1, 6, 1, 0, 7, 7],15.55,1.39,5.88,
65,89,278,[7, 4, 2, 3, 5, 6, 1, 6, 1, 0, 7, 7],16.4,1.45,6.29,
75,92,275,[7, 4, 2, 3, 5, 6, 1, 6, 1, 0, 7, 7],14.39,1.56,6.35,
78,93,272,[7, 4, 2, 3, 5, 6, 1, 6, 1, 0, 7, 7],14.22,1.45,6.47,
82,97,263,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],13.51,1.37,6.47,
80,91,269,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],15.1,1.34,6.37,
78,92,255,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],15.86,1.32,6.36,
77,96,260,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],16.05,1.34,6.18,
80,93,261,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],16.26,1.4,6.08,
83,92,263,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],16.18,1.47,6.01,
91,94,262,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],14.96,1.56,5.96,
95,92,259,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],14.85,1.53,5.89,
102,90,254,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],14.34,1.56,5.83,
97,90,254,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],15.26,1.58,5.74,
104,88,249,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],14.61,1.63,5.74,
112,87,253,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],13.77,1.67,5.69,
115,82,258,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],13.99,1.72,5.73,
118,81,257,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],13.86,1.75,5.75,
122,83,256,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],13.35,1.77,5.73,
128,79,255,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],13.16,1.72,5.74,
135,78,252,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],12.67,1.75,5.79,
135,77,248,[7, 7, 1, 2, 2, 4, 2, 6, 1, 5, 7, 6],12.83,1.77,5.69,
144,70,257,[7, 7, 1, 2, 2, 4, 2, 6, 1, 5, 7, 6],12.62,1.71,5.77,
135,72,246,[7, 7, 1, 2, 2, 4, 2, 6, 1, 5, 7, 6],13.22,1.61,5.77,
151,75,252,[7, 7, 1, 2, 2, 4, 2, 6, 1, 5, 7, 6],11.56,1.66,5.75,
156,72,243,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],11.31,1.67,5.79,
150,72,238,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],11.68,1.69,5.7,
155,72,244,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],11.26,1.7,5.67,
150,71,239,[2, 6, 2, 7, 2, 0, 6, 1, 1, 2, 7, 6],11.7,1.68,5.7,
148,70,237,[4, 2, 5, 1, 3, 3, 0, 5, 0, 6, 7, 3],11.79,1.72,5.64,
