Day number, Number of animals, Number of plants, Number of empty cells, Most popular genome, Average energy, Average number of children, Average lifespan of dead animals
87,2653,513,1198,[1, 5, 6],29.75,10.65,6.0,
88,2628,516,1215,[6, 2, 4],30.26,10.88,6.0,
89,2620,497,1213,[6, 2, 4],30.67,11.05,6.0,
90,2607,504,1194,[6, 2, 4],31.04,11.16,6.02,
91,2599,510,1183,[6, 2, 4],31.37,11.34,6.02,
92,2616,504,1223,[5, 5, 5],31.44,11.38,6.03,
93,2600,501,1212,[5, 5, 5],31.9,11.53,6.05,
94,2607,503,1217,[5, 5, 5],32.06,11.64,6.05,
95,2609,502,1211,[5, 5, 5],32.29,11.75,6.06,
96,2609,503,1201,[2, 2, 2],32.54,11.85,6.07,
97,2627,528,1194,[5, 5, 5],32.47,11.9,6.08,
98,2655,518,1192,[7, 6, 5],32.4,11.89,6.09,
99,2670,519,1181,[3, 2, 5],32.43,11.97,6.08,
100,2688,525,1179,[3, 2, 5],32.41,12.0,6.09,
101,2675,528,1180,[3, 2, 5],32.78,12.17,6.09,
102,2661,507,1176,[1, 6, 5],33.26,12.33,6.1,
103,2662,519,1172,[3, 0, 5],33.42,12.48,6.09,
104,2634,520,1167,[3, 0, 5],34.01,12.73,6.09,
105,2606,542,1159,[2, 6, 4],34.54,12.94,6.1,
106,2586,530,1174,[2, 6, 4],35.12,13.05,6.12,
107,2601,514,1191,[0, 0, 6],35.23,13.15,6.11,
108,2632,512,1163,[1, 5, 6],35.07,13.12,6.12,
109,2652,501,1180,[1, 2, 2],35.07,13.16,6.12,
110,2653,501,1168,[1, 5, 6],35.29,13.24,6.12,
111,2640,508,1188,[2, 5, 6],35.67,13.45,6.12,
112,2642,503,1201,[2, 5, 6],35.9,13.55,6.14,
113,2639,477,1185,[1, 5, 6],36.27,13.69,6.13,
114,2635,479,1195,[1, 5, 6],36.56,13.84,6.13,
115,2632,479,1204,[0, 2, 1],36.84,13.97,6.14,
116,2638,482,1181,[0, 2, 1],36.98,14.06,6.15,
117,2646,485,1210,[3, 5, 2],37.09,14.15,6.15,
118,2659,474,1209,[2, 6, 4],37.18,14.21,6.15,
119,2662,472,1209,[5, 5, 5],37.38,14.31,6.16,
120,2677,478,1204,[5, 5, 5],37.37,14.35,6.16,
121,2667,490,1197,[1, 5, 6],37.68,14.54,6.16,
122,2672,476,1195,[2, 6, 4],37.89,14.63,6.17,
123,2665,495,1188,[2, 6, 4],38.14,14.77,6.17,
124,2652,481,1198,[2, 6, 4],38.61,14.94,6.18,
125,2647,475,1215,[1, 2, 6],38.94,15.05,6.19,
126,2639,483,1198,[1, 2, 2],39.26,15.21,6.19,
127,2624,471,1244,[2, 2, 4],39.77,15.41,6.2,
128,2620,471,1208,[1, 2, 6],40.08,15.49,6.21,
129,2635,471,1219,[5, 2, 6],40.09,15.51,6.21,
130,2649,474,1223,[5, 2, 6],40.1,15.5,6.23,
131,2649,473,1201,[5, 2, 6],40.33,15.64,6.23,
132,2662,482,1207,[1, 5, 2],40.33,15.7,6.23,
133,2678,484,1180,[4, 5, 5],40.3,15.76,6.22,
134,2670,474,1207,[4, 5, 5],40.68,15.9,6.23,
135,2644,472,1222,[4, 5, 5],41.32,16.15,6.24,
136,2647,474,1212,[1, 5, 6],41.5,16.24,6.25,
137,2603,474,1213,[4, 5, 5],42.44,16.61,6.25,
138,2581,475,1218,[5, 5, 5],43.06,16.84,6.26,
139,2567,495,1233,[1, 5, 6],43.49,17.06,6.26,
140,2568,489,1246,[2, 3, 5],43.77,17.19,6.26,
141,2571,494,1229,[2, 5, 6],43.96,17.32,6.26,
142,2605,490,1221,[0, 5, 2],43.66,17.22,6.26,
143,2612,487,1222,[3, 2, 1],43.8,17.33,6.26,
144,2621,490,1227,[3, 2, 1],43.89,17.25,6.28,
145,2626,484,1249,[5, 1, 6],44.07,17.34,6.28,
146,2630,481,1239,[5, 1, 6],44.26,17.39,6.29,
